Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie lässt sich die Ausdauerbelastung steuern respektive messen?;Objektiv in Watt, Pace oder % der HFmax. (Pulsmesser), subjektiv durch individuelles Belastungsempfinden (Belastungsskala, Sprechverhalten unter Belastung).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was unterscheider die Begriffe Fettabbau und Fettverbrennung?;Der Fettabbau beschreibt die Fähigkeit des Körpers auf die Fettreserven zugreifen zu können.;Die Fettverbrennung beschreibt den nachfolgenden Prozess der Energie-Verstoffwechselung in der Muskulatur.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Weshalb haben Ausdauerathleten 'fettere' Muskulatur als untrainierte Menschen?;Der Körper reagiert auf gezieltes Training mit Anpassungen.;Er beginnt folglich bei regelmässiger Durchführung eines Ausdauertrainings die Energieträger dort einzulagern, wo sie direkter und schneller umgesetzt werden können.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Nenne die Effekte der unterschiedlichen Anpassungsstufen;Anpassungsstufe 1 (1 - 2 Wochen): Veränderung des motorischen Ansteuerungsprogramms der beanspruchten Muskulatur;Anpassungsstufe 2 (2 - 4 Wochen): Vergrösserung der Kapazität der Energiespeicher und der muskulären Proteine;Anpassungsstufe 3 (4 - 5 Wochen): Optimierung der neuromuskulären Regulation mit den neu gebildeten Strukturen im Muskel;Anpassungsstufe 4 (5 - 6 Wochen): Abstimmung und Koordination der Hierarchie der Systeme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;In welchem Zusammenhang stehen Intensität der Belastung und Fett-Energieumsatz beim Ausdauertraining?;Trotz relativ höherem Anteil an Fetten, die bei niederiger Intensität verbrannt werden, ist bei höherer Intensität der absolute Anteil an der Gesamtleistung grösser.;Zudem ist die Gesamtenergiemenge, die umgesetzt wird deutlich höher, was einen direkten Einfluss auf die Kalorienbilanz hat.;Natürlich muss aber in der Umsetzung eines solchen Fettverbrennungs-Trainings im Ausdauerbereich auch immer die Abstimmung der Intensitäten auf das aktuelle Leistungsniveau der Trainierenden erfolgen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wann wird, absolut gesehen, am meisten Energie über die Fettoxidation 'verbrannt'?;bei hochintensivem Training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Elemente müssen berücksichtigt werden, um eine nachhaltige Körperfettreduktion erreichen zu können?;regelmässiges gesteuertes Ausdauertraining;effizientes, muskelaufbauendes Training;kontrollierte, ausgewogene Ernährung mit negativer Kalorienbilanz und aktivem Stoffwechsel, keine Diäten (!);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist der Sinn von Trainingskontrollen?;Sicherstellung des angestrebten Trainingserfolgs;Überprüfung der ursprünglich geplanten Ziele;Kontrolle der Trainingswirkungen (Re-Tests);Rückblickende Analyse des Trainingsverlaufs;Anpassungen für weitergehende Trainingsplanung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Punkte müssen bei der koordinativen Vorbereitung im Rahmen eines speziellen Aufwärmens beachtet werden?;5 - 10 min Dauer genügen;wenn möglich labile Unterlagen verwenden;Übungen abbrechen bei mangelnder Konzentration;jede Übung mehrmals wiederholen;auf Körperhaltung und Atmung achten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welches sind die Hauptaufgaben des Herzkreislaufsystems?;Transport von Nährstoffen und Sauerstoff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Beschreibe den Aufbau des Herzens;Aufbau in rechte und linke Hälfte jeweils mit Vorhof (Atrium) und Kammer (Ventrikel);Segelklappen (zwischen Vorhof und Herzkammer);Taschenklappen (zwischen Herzkammer und grossen Gefässen, verhindern den Blutrückfluss);Herzscheidewand (Septum);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Aufgabe hat das Blut?;Transport vieler Stoffe - Sauerstoff, Kohlendioxid, Nährstoffe, Stoffwechselprodukte, Vitamine, Blutsalze;Transport von Wärme (Heizung / Kühlung);Signalübermittlung durch Hormone;Pufferung gegen Übersäuerung;Abwehr körperfremder Stoffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Komponenten gehören zum Atmungssystem?;Nasen-, Mundhöhle;Rachen (Kehlkopf);Luftröhre;Lungen;Bronchien;Bronchiolen;Alveolen;Kapillaren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist das Inspiratorische Reservevolumen?;Atmungsvolumen der max. Einatmung minus das Ruheatemzugsvolumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist das Exspiratorische Reservevolumen?;Atmungsvolumen der max. Ausatmung minus das Ruheatemzugsvolumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist das Residualvolumen?;Die Luft, welche immer in den Atemwegen bleibt, auch nach max. Ausatmung.;Totalkapazität minus Vitalkapazität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist die Vitalkapazität?;Das inspiratorische Reservevolumen plus expiratorische Reservevolumen plus Ruheatemzugsvolumen;Totalkapazität minus Residualvolumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Woraus besteht Atemluft (Einatmung)?;Stickstoff (N) 79 %;Sauerstoff (O) 20 %;Kohlendioxid (CO2) 0.03 %;Edelgase 1 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie hoch ist die durchschnittliche Atemfrequenz in Ruhe und unter Belastung pro Minute?;Ruhe 12 - 16 / min;Belastung 40 - 50 / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie gross ist das durchschnittliche Atemzugsvolumen in Ruhe und unter Belastung pro Minute?;Ruhe 0.5 l / min;Belastung 2.5 l / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie gross ist das durchschnittliche Atemminutenvolumen in Ruhe und unter Belastung pro Minute?;Ruhe 6 - 8 l / min;Belastung 100 - 125 l / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie gross ist die maximale Sauerstoffaufnahmefähigkeit eines Menschen?;VO2max ist mind. zur Hälfte genetisch vorgegeben und individuell verschieden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie gross ist die durchschnittliche VO2max bei untrainierten Menschen?;Frauen 32 - 38 ml / kg KG / min;Männer 35 - 45 ml / kg KG / min;Spitzensportler im Ausdauerbereich 70 - 90 ml / kg KG / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Faktoren wirken limitierend auf die VO2max?;Herzminutenvolumen = Schlagvolumen x Herzfrequenz (normal ca. 4000);Sauerstoffausnutzung in der Muskulatur (abhängig von Muskelfaserzusammensetzung, Mitochondrienvolumen, Kapillarisierung);Sauerstofftransportkapazität des Blutes;Lungenventilation;Diffusionskapazität der Lunge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Ausdauerleistungstests finden in Fitnesscentern üblicherweise statt?;Laktatstufentest;IPN-Test;PWC (130, 150, 170);Test der Vitalkapazität;VO2max;Conconi Test;WHO-3-Stufen Test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Körperfettmessmethoden finden in Fitnesscentern üblicherweise statt?;Fat-Caliper (Messzange);Ultraschall;Infrarot;Impedanzmessung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was misst ein Caliper?;subcutanes Fett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist eine Impedanzmessung?;Mittels eines speziellen Geräts wird mit Hilfe eines schwachen Stromstosses, wecher durch den Körper geschickt wird, der Widerstand gemessen und anhand eines EDV-Programmes der Körperfettgehatl errechnet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist der BMI?;Body-Mass-Index;Hier wird nach einer Formel das Körpergewicht in Relation zur Körperfläche gesetzt. Bei Überschreiten einer Kennzahl wird Übergewicht (Überfett) angenommen. Nicht sehr genau, da Bsp. Bodybuilder auf Grund ihrer hohen Muskelmasse nach diesem Index immer übergewichtig wären.;BMI ist nur gut in Kombination mit einer echten Fettmessung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie wird der BMI berechnet?;Körpergewicht geteilt durch Körpergrösse in Meter im Quadrat;kg / m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was kann die Begründung sein, weshalb die Intensitätsvorgaben im Training qualitativ nicht erreicht werden?;Regeneration war unzureichend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie unterscheidet sich die Ruheherzfrequenz von untrainierten und trainierten Personen?;Die Ruheherzfrequenz liegt bei untrainierten Personen deutliche höher (70 - 80 Schläge pro Minute) als bei trainierten (30 - 40 Schläge pro Minute).;Das Herz kann dementsprechend unter Belastung weniger ökonomisch arbeiten und muss häufiger schlagen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie wird die maximale Herzfrequenz festgelegt?;Sie kann nicht einfach rechnerisch festgelegt werden.;Die HFmax. Ist individuell, genetisch vorgegeben, sinkt tendenziell mit zunehmendem Alter und kann nicht durch Training nach oben verändert werden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Warum kann ein sogenanntes Höhentraining die Ausdauerleistungsfähigkeit kurzzeitig verbessern?;Der Körper wird aufgrund der verringerten Sauerstoffkonzentration in der Atemluft angeregt, mehr rote Blutkörperchen zu produzieren.;Je höher nun die Anzahl der roten Blutkörperchen, desto mehr Sauerstoff-Taxis stehen zur Verfügung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Inwiefern wirken die Energiespeicher limitierend auf die Ausdauerleistungsfähigkeit?;Die Grundlage jeder wirksamen Energiebereitstellung bildet die ausgewogene Versorgung des Körpers mit Nährstoffen. Ohne Energie ist keine Leistung möglich.;Wiederholte Trainingsbelastung hat auch einen Einfluss auf die Grösse der Enegiespeicher im Körper und damit einhergehend auf die Energiebereitstellung.;Je nach Gestaltung des Ausdauertrainings (Intensität und Dauer) kommt es zu einer Entleerung der betroffenen Reserven.  Wird dies im Sinne eines Trainings regelmässig ausgeführt, und dem Organismus auch die Zeit zur vollständigen Regeneration zugestanden, so antwortet dieser superkompensatorisch mit einer Vergrösserung der Energiespeicher.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Inwiefern wirkt das Nervensystem limitierend auf die Ausdauerleistungsfähigkeit?;Das Nerv-Muskel Zusammenspiel sorgt für bessere Technik und somit für weniger Energieaufwand zur Bewältigung einer Aufgabe.;Dies bedeutet letztlich, dass eine bestimmte Leistung über längere Zeit aufrechterhalten werden kann, was der Definition des Ausdauerbegriffs entspricht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Was ist das Ziel eines regelmässigen Ausdauertrainings?;Ziel ist die beschränkenden Systemlimiten positiv zu beeinflussen und somit die individuelle (Ausdauer-) Leistungsfähigkeit zumindest zu erhalten oder zu verbessern.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Effekte kann ein regelmässiges Ausdauertraining bewirken?;Verringerung der Systemlimiten;erhöhte physische Belastbarkeit (Einfluss auf andere Konditionsfaktoren);bessere Regenerationsfähigkeit, schnellere Erholung;Prävention im Hinblick auf das Herz-Kreislaufsystem;Reduzierung der Risikofaktoren Herz-Kreislauf-Erkrankungen (Bluthochdruck, Blutfettwerte);Reduktion des Körperfettanteils (speziell in Kombination mit Krafttraining und Ernährungsumstellung);Erhöhte psychische Belastbarkeit (Stressresistenz, Ermüdungswiderstandsfähigkeit);Bewegung, Spass, Abwechslung (soziale Komponenten);verbessertes Wohlbefinden (Bsp. Schlafqualität, Eigenwahrnehmung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welche Effekte werden mit einem extensiven Ausdauertraining angestrebt?;Verbesserung der Grundlagenausdauer;Steigerung der aeroben Leistungsfähigkeit;Steigerung der Ermüdungswiderstandsfähigkeit;Ökonomisierung des Fettstoffwechsels / mitochondriale Biogenese;ab 2.5 h wird, verhältnismässig am meisten Fett verbrannt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welches sind die gängigen Herzfrequenzformeln?;220 minus Lebensalter = maximale Herzfrequenz (max HF);Trainingsherzfrequenz = 180 minus Lebensalter (Hollmann);165 minus halbes Lebensalter +/-5 Pulsschläge für alle stehenden Ausdauerleistungen;160 minus halbes Lebensalter +/-5 Pulsschläge für alle sitzenden Ausdauerleistungen;maximale Herzfrequenz minus Ruheherzfrequenz, multipliziert mit dem Intensitätsgrenzwert in Prozent;Ruheherzfrequenz (Karvonen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Wie lautet die Karvonen-Formel zur Bestimmung der individuellen Herzfrequenz?;Maximale Herzfrequenz minus Ruheherzfrequenz, multipliziert mit dem Intensitätsgrenzwert in Prozent, plus die Ruheherzfrequenz (Karvonen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Welcher Teil des Energiegewinnungs-Systems ist bei einem 400 m Sprint vorwiegend dominant?;laktazide anaerobe Glykose;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cardio Coach;Foto: Ausdauertraining kann mit verschiedenen Methoden und mit unterschiedlichen Trainingsmitteln durchgeführt werden.;Dauermethode mit konstant gleichbleibender Belastungsintensität;Wiederholungsmethode mit nahezu vollständiger Erholung nach den Belastungsspitzen;Intervallmethode mit lohnenden Pausen;Wettkampfmethode, spezifisch bei Sportlern;Fahrtenspiel ohne planmässige Belastungsspitzen;Dauermethode mit konstant gleichbleibender Belastungsintensität;Dauermethode mit konstant gleichbleibender Belastungsintensität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Aponeurose;flächenhafte Sehne - Sehnenplatte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff BWS;Brustwirbelsäule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Fascia;bindegewebige Hülle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff HWS;Halswirbelsäule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Kyphose;Wirbesäulenkrümmung nach hinten (konvex, dorsal);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Ligamentum;Band;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Linea;Linie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Lordose;Wirbelsäulenkrümmung nach vorne (konkav, ventral);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Lumbal;Lenden-Bereich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff LWS;Lendenwirbelsäule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Musculus;Muskel / Muskeln;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Nervus;Nerv / Nerven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Os;Knochen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Os sacrum;Kreuzbein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Periost;Knochenhaut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Skoliose;seitliche Verbiegung der Wirbelsäule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Sternum;Brustbein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begriffe;Erkläre / übersetzte den Begriff Synovia;Gelenkflüssigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
